TABLE:  Pier Section Properties;;;;;;;;;;;;;;;
Story;Pier;Axis Angle;# Area Objects;# Line Objects;Width Bottom;Thickness Bottom;Width Top;Thickness Top;Material;CG Bottom X;CG Bottom Y;CG Bottom Z;CG Top X;CG Top Y;CG Top Z
;;deg;;;m;m;m;m;;m;m;m;m;m;m
Story5;7C;90;39;0;4.82;0.12;4.82;0.12;H280;10.355;2.965;9.52;10.355;2.965;11.9
Story5;7A;90;42;0;4.82;0.12;4.82;0.12;H280;10.355;10.615;9.52;10.355;10.615;11.9
Story5;I1;0;27;0;3.625;0.12;3.625;0.12;H280;7.4575;8.205;9.52;7.4575;8.205;11.9
Story5;I3;0;27;0;3.625;0.12;3.625;0.12;H280;7.4575;5.375;9.52;7.4575;5.375;11.9
Story5;5A;90;24;0;2.83;0.12;2.83;0.12;H280;5.585;6.79;9.52;5.585;6.79;11.9
Story5;K1;0;42;0;5.585;0.12;5.585;0.12;H280;2.7925;6.79;9.52;2.7925;6.79;11.9
Story5;1A;90;66;0;7.74;0.15;7.74;0.15;H280;0;6.79;9.52;0;6.79;11.9
Story5;K2;0;42;0;5.585;0.12;5.585;0.12;H280;38.6275;6.79;9.52;38.6275;6.79;11.9
Story5;B4;0;9;0;0.83;0.12;0.83;0.12;H280;37.305;13.58;9.52;37.305;13.58;11.9
Story5;B8;5.4439E-11;9;0;0.83;0.12;0.83;0.12;H280;37.305;2.72718E-13;9.52;37.305;2.72718E-13;11.9
Story5;E4;0;9;0;0.945;0.15;0.945;0.15;H280;30.5925;0.555;9.52;30.5925;0.555;11.9
Story5;E3;0;9;0;0.945;0.15;0.945;0.15;H280;9.8825;0.555;9.52;9.8825;0.555;11.9
Story5;B7;1.74496E-10;9;0;0.83;0.12;0.83;0.12;H280;24.825;2.72718E-13;9.52;24.825;2.72718E-13;11.9
Story5;B3;0;9;0;0.83;0.12;0.83;0.12;H280;24.825;13.58;9.52;24.825;13.58;11.9
Story5;B2;0;9;0;0.83;0.12;0.83;0.12;H280;16.595;13.58;9.52;16.595;13.58;11.9
Story5;B6;0;9;0;0.83;0.12;0.83;0.12;H280;16.595;2.84E-14;9.52;16.595;2.84E-14;11.9
